ORDERNUMBER	QUANTITYORDERED	
10207	45	
10220	20	
10230	46	
10247	40	
10272	45	
10282	36	
10292	31	
10306	46	
10314	35	
10325	28	
10336	31	Small
10350	27	
10359	22	
10371	30	
10383	44	
10394	30	
10413	24	
10103	45	
10113	23	
10126	26	Small
10140	28	
10150	49	Small
10164	49	
10175	29	
10183	49	
10194	39	Small
10206	36	
10217	39	
10229	30	
10245	44	
10258	20	
10270	21	
10281	36	
10291	32	
10304	36	
10313	34	
10324	48	
10333	33	
10348	31	Medium
10358	36	
10370	25	
10382	48	
10411	27	
10424	44	
10106	33	
10120	29	
10133	49	
10144	20	
10168	31	
10210	39	Small
10223	20	
10235	34	
10250	50	
10262	40	
10275	28	
10284	50	Medium
10297	28	
10308	46	
10316	24	
10328	24	
10340	39	
10353	40	
10361	49	
10375	44	
10388	35	
10398	22	
10401	62	
10416	26	
10108	31	
10121	25	
10135	30	
10145	27	
10159	23	
10169	34	
10180	22	
10190	42	
10211	37	
10224	30	
10237	27	
10252	25	
10264	34	
10276	38	
10285	26	
10299	38	
10309	50	
10319	22	
10331	32	
10341	31	
10355	40	
10365	22	
10375	41	
10390	45	
10403	45	
10106	39	
10120	49	
10133	27	
10143	34	
10156	20	
10168	48	
10199	29	
10210	43	Small
10223	41	
10235	41	
10250	36	
10262	49	
10275	38	
10284	33	Small
10296	26	
10308	47	
10316	34	
10328	34	
10340	40	
10353	40	
10361	33	
10375	49	
10388	27	
10398	49	
10401	56	
10416	37	
10104	33	
10115	27	
10127	46	
10141	44	
10151	26	
10165	48	Medium
10176	23	
10184	45	Medium
10195	49	
10207	28	
10220	37	
10230	34	
10246	22	
10259	29	
10271	34	
10282	38	
10292	41	
10305	42	
10314	28	
10325	38	
10336	23	Medium
10350	31	
10359	46	
10371	48	
10383	29	
10395	46	
10412	26	
10425	18	
10104	32	
10117	21	Small
10127	46	
10142	42	
10153	31	
10165	38	Small
10176	38	
10185	20	
10196	46	
10208	30	Small
10220	30	
10230	43	
10247	49	
10272	43	
10282	37	
10292	35	
10306	34	
10314	38	
10325	44	
10337	21	
10350	44	
10359	25	
10372	24	
10383	38	
10395	45	
10413	51	
10108	34	
10121	44	
10135	44	
10145	38	
10159	31	
10169	48	
10180	21	
10190	40	
10211	40	
10224	50	
10237	20	
10252	48	
10264	47	
10276	21	
10285	39	
10299	44	
10309	28	
10319	45	
10331	20	
10341	38	
10356	26	
10365	44	
10375	49	
10390	22	
10403	31	
10105	41	
10119	25	
10129	31	
10142	41	
10153	43	
10167	43	
10177	24	
10185	21	
10197	23	
10208	38	Small
10222	31	
10233	36	
10248	36	
10261	34	
10273	21	
10283	45	
10295	26	
10306	50	
10315	41	
10326	39	
10339	22	
10350	46	
10373	44	
10385	25	
10396	39	
10414	37	
10106	31	
10120	47	
10133	24	
10143	36	
10156	48	
10168	28	
10199	48	
10210	21	Small
10223	25	
10235	25	
10250	31	
10262	40	
10275	32	
10284	24	Small
10296	42	
10308	21	
10316	34	
10328	27	
10340	30	
10353	39	
10361	20	
10375	37	
10388	46	
10398	47	
10401	11	
10416	23	
10105	29	
10117	38	Medium
10128	32	
10142	43	
10153	31	
10166	29	
10177	31	
10185	30	
10196	50	
10208	40	Medium
10221	23	
10232	26	
10248	40	
10273	21	
10282	43	
10293	29	
10306	38	
10314	23	
10327	20	
10337	36	
10350	28	
10372	44	
10384	49	
10397	32	
10414	34	
10106	30	
10119	29	
10131	22	
10143	26	
10155	32	
10167	29	
10178	34	
10186	24	
10197	24	
10209	33	
10222	26	
10249	40	
10262	44	
10274	24	
10283	20	
10296	34	
10307	34	
10316	45	
10328	41	
10339	55	
10352	23	
10361	24	
10373	32	
10386	29	
10398	36	
10400	46	
10415	32	
10106	34	
10120	24	
10131	40	
10143	26	
10155	20	
10168	31	
10178	22	
10198	42	
10210	26	Small
10222	37	
10235	38	
10250	35	
10262	33	
10275	39	
10284	45	Medium
10296	24	
10308	35	
10316	23	
10328	37	
10340	55	
10352	49	
10361	26	
10375	33	
10386	37	
10398	22	
10401	85	
10416	22	
10105	31	
10119	38	
10129	45	
10143	31	
10154	36	
10167	46	
10177	32	
10185	39	
10197	50	
10208	46	Medium
10222	36	
10233	29	
10248	32	
10261	44	
10273	42	
10283	47	
10295	44	
10306	43	
10316	48	
10327	21	
10339	50	
10350	29	
10373	41	
10386	37	
10397	22	
10414	31	
10103	42	
10114	42	Medium
10126	45	Medium
10140	36	
10150	20	Small
10164	39	
10175	42	
10183	23	
10194	26	Small
10206	33	
10217	31	
10229	50	
10245	44	
10258	45	
10270	46	
10281	27	
10291	28	
10304	40	
10313	30	
10324	34	
10336	46	Large
10348	32	Small
10358	27	
10371	34	
10382	34	
10411	34	
10424	46	
10106	32	
10120	24	
10133	27	
10145	20	
10168	36	
10188	29	
10210	25	Small
10223	29	
10235	25	
10250	44	
10263	47	
10275	48	
10285	45	
10297	35	
10308	31	
10318	50	
10328	33	
10340	29	
10353	48	
10361	44	
10375	25	
10388	50	
10398	23	
10401	21	
10416	41	
10106	44	
10120	43	
10143	28	
10155	43	
10168	48	
10199	38	
10210	31	Small
10223	26	
10235	32	
10250	44	
10262	27	
10275	43	
10284	25	Small
10296	22	
10308	21	
10316	48	
10328	33	
10341	34	
10353	43	
10361	44	
10375	44	
10386	32	
10398	29	
10401	77	
10416	39	
10105	39	
10118	36	
10129	42	
10142	21	
10153	50	
10167	24	
10177	44	
10185	37	
10197	27	
10208	37	Medium
10222	38	
10232	48	
10248	30	
10261	25	
10273	40	
10283	22	
10295	34	
10306	32	
10315	31	
10327	43	
10337	31	
10350	31	
10373	34	
10386	45	
10397	48	
10414	28	
10105	22	
10117	45	Medium
10129	30	
10142	38	
10153	20	
10167	28	
10177	24	
10185	22	
10197	35	
10208	33	Small
10222	31	
10232	35	
10248	35	
10261	50	
10273	26	
10283	38	
10294	45	
10306	30	
10315	37	
10327	37	
10337	36	
10350	25	
10373	37	
10386	30	
10397	36	
10414	27	
10106	48	
10119	26	
10131	26	
10143	34	
10155	44	
10168	39	
10178	45	
10198	40	
10210	42	Small
10222	43	
10235	34	
10250	38	
10262	35	
10275	31	
10284	32	Small
10296	47	
10308	39	
10316	44	
10328	39	
10339	50	
10352	22	
10361	35	
10373	45	
10386	44	
10398	36	
10401	28	
10416	43	
10106	48	
10119	28	
10131	21	
10143	37	
10155	34	
10167	40	
10178	45	
10186	28	
10197	29	
10209	48	
10222	31	
10249	32	
10262	21	
10274	32	
10283	43	
10296	21	
10307	34	
10316	34	
10329	44	
10339	27	
10352	49	
10361	23	
10373	25	
10386	50	
10398	34	
10400	20	
10415	42	
10105	25	
10117	50	Small
10129	32	
10142	39	
10153	50	
10167	38	
10177	40	
10185	28	
10197	42	
10208	42	Small
10222	36	
10232	24	
10248	23	
10261	29	
10273	37	
10283	33	
10293	32	
10306	35	
10315	40	
10327	37	
10337	42	
10350	20	
10373	29	
10386	43	
10397	34	
10414	47	
